cluster,ego_id,model,mean_diff,std_diff,n_replications
holes_cluster,1aed0d73be720ffc08e3f7856fc4b182,gen_no_constraint,0.17363683282013706,0.01890348737555682,
holes_cluster,1aed0d73be720ffc08e3f7856fc4b182,gen_jdm,0.16834997181086322,0.014491388524845092,
holes_cluster,346a6423ddc65ae4e597a40ab9eb5228,gen_ftr1,0.20960439731448136,0.04041992726917221,
holes_cluster,346a6423ddc65ae4e597a40ab9eb5228,gen_f3ccr1,0.23332499666533277,0.01926996016960573,
holes_cluster,346a6423ddc65ae4e597a40ab9eb5228,gen_no_constraint,0.27973022542350273,0.02731556387260521,
holes_cluster,346a6423ddc65ae4e597a40ab9eb5228,gen_jdm,0.044036503490285,0.018939272544265418,
holes_cluster,62a7b69cc69ac5d99f55d4018fd57bbf,gen_ftr1,0.14773093550183333,0.03139188498306666,
holes_cluster,62a7b69cc69ac5d99f55d4018fd57bbf,gen_f3ccr1,0.13734170313117683,0.03190804968523124,
holes_cluster,62a7b69cc69ac5d99f55d4018fd57bbf,gen_no_constraint,0.15006085532401323,0.03306724925659331,
holes_cluster,62a7b69cc69ac5d99f55d4018fd57bbf,gen_jdm,0.06082407444636548,0.012285469846438378,
holes_cluster,6ce1608ad61025029f7aaef918950ffb,gen_ftr1,0.1557254544080469,0.02020317888268761,
holes_cluster,6ce1608ad61025029f7aaef918950ffb,gen_f3ccr1,0.14962517844204304,0.02300436515908265,
holes_cluster,6ce1608ad61025029f7aaef918950ffb,gen_no_constraint,0.14124793583093723,0.02281995531784831,
holes_cluster,6ce1608ad61025029f7aaef918950ffb,gen_jdm,0.1191367876033993,0.02080187243356893,
holes_cluster,7fd27933925a36921c6e93ba2ddd93f6,gen_ftr1,0.31459200036364693,0.02495168946205212,
holes_cluster,7fd27933925a36921c6e93ba2ddd93f6,gen_f3ccr1,0.34372946052263714,0.017398956230508276,
holes_cluster,7fd27933925a36921c6e93ba2ddd93f6,gen_no_constraint,0.28923367285731966,0.028019979872300437,
holes_cluster,7fd27933925a36921c6e93ba2ddd93f6,gen_jdm,0.31053731834295983,0.013968644816979283,
holes_cluster,a444ff59dc54c3cb8d859499bdf877c2,gen_ftr1,0.13164466504687947,0.014090123358666893,
holes_cluster,a444ff59dc54c3cb8d859499bdf877c2,gen_f3ccr1,0.1264048852060049,0.01374078369756588,
holes_cluster,a444ff59dc54c3cb8d859499bdf877c2,gen_no_constraint,0.11172202075666263,0.011977905006076229,
holes_cluster,a444ff59dc54c3cb8d859499bdf877c2,gen_jdm,0.10292251797244764,0.011127396101340304,
